Year,Zipcode,Population,Poverty Count,Poverty Rate,Family Poverty Count,Median Household Income,Per Capita Income,Median Home Value
2017,95834,27089.0,4746.0,17.52,1042.0,57296.0,27030.0,286000.0
2017,95835,38607.0,2769.0,7.17,506.0,87794.0,36834.0,348200.0
2017,95837,237.0,4.0,1.69,0.0,225000.0,86550.0,625000.0
2017,95838,38051.0,10465.0,27.5,1894.0,41970.0,16744.0,169900.0
2017,95841,20551.0,4726.0,23.0,1016.0,42133.0,22458.0,214900.0
2017,95842,31971.0,7293.0,22.81,1387.0,47705.0,21179.0,197500.0
2017,95843,47088.0,6470.0,13.74,1401.0,71041.0,25383.0,275700.0
2017,95864,23458.0,1608.0,6.85,237.0,96643.0,57039.0,531300.0
2018,95608,61860.0,9799.0,15.84,1800.0,61437.0,38483.0,377000.0
2018,95610,45995.0,5987.0,13.02,1073.0,58780.0,29122.0,305800.0
2018,95621,41757.0,4450.0,10.66,755.0,59693.0,29377.0,247900.0
2018,95624,65742.0,6349.0,9.66,1275.0,91971.0,35090.0,375900.0
2018,95626,6335.0,640.0,10.1,79.0,73355.0,28332.0,313900.0
2018,95628,41121.0,3866.0,9.4,581.0,81235.0,44477.0,407000.0
2018,95630,76973.0,3828.0,4.97,690.0,109942.0,45371.0,488700.0
2018,95632,31431.0,3851.0,12.25,665.0,74190.0,28871.0,323800.0
2018,95638,2121.0,171.0,8.06,48.0,81500.0,39056.0,505400.0
2018,95639,321.0,0.0,0.0,0.0,59226.0,21171.0,422200.0
2018,95641,1548.0,285.0,18.41,32.0,36932.0,26016.0,242600.0
2018,95655,4178.0,600.0,14.36,74.0,89107.0,32282.0,335400.0
2018,95660,36472.0,9456.0,25.93,1799.0,45328.0,17712.0,188100.0
2018,95662,32006.0,2979.0,9.31,429.0,77993.0,35382.0,356700.0
2018,95670,54648.0,7186.0,13.15,1411.0,64784.0,32965.0,298100.0
2018,95673,15753.0,2765.0,17.55,467.0,62604.0,23162.0,242200.0
2018,95683,6279.0,199.0,3.17,66.0,107395.0,51501.0,454100.0
2018,95690,2122.0,167.0,7.87,16.0,56850.0,30100.0,469100.0
2018,95693,6759.0,424.0,6.27,114.0,100679.0,41551.0,558200.0
2018,95742,11921.0,818.0,6.86,175.0,126348.0,38958.0,400500.0
2018,95757,49683.0,3539.0,7.12,626.0,101823.0,34128.0,431000.0
2018,95758,63894.0,6697.0,10.48,1231.0,79885.0,32281.0,342400.0
2018,95811,6050.0,1547.0,25.57,248.0,52145.0,45836.0,498100.0
2018,95814,11340.0,2561.0,22.58,235.0,35264.0,35600.0,411500.0
2018,95815,25224.0,8716.0,34.55,1454.0,31467.0,17106.0,200500.0
2018,95816,17217.0,1751.0,10.17,143.0,65292.0,53355.0,547300.0
2018,95817,13461.0,3084.0,22.91,430.0,45410.0,28750.0,318500.0
2018,95818,21732.0,3506.0,16.13,658.0,80938.0,52650.0,519300.0
2018,95819,19659.0,1185.0,6.03,142.0,104414.0,52029.0,523500.0
2018,95820,35477.0,8511.0,23.99,1242.0,50031.0,23660.0,229300.0
2018,95821,35430.0,8526.0,24.06,1624.0,42290.0,27120.0,317200.0
2018,95822,45323.0,7730.0,17.06,1352.0,54552.0,27496.0,289100.0
2018,95823,79272.0,19229.0,24.26,3774.0,44981.0,18230.0,221900.0
2018,95824,30296.0,10696.0,35.3,1995.0,33986.0,14063.0,169000.0
2018,95825,35825.0,11710.0,32.69,2029.0,37956.0,24738.0,278900.0
2018,95826,38256.0,7161.0,18.72,1001.0,62527.0,30793.0,283300.0
2018,95827,21185.0,2976.0,14.05,469.0,56064.0,26341.0,241400.0
2018,95828,60270.0,12073.0,20.03,2262.0,51229.0,20117.0,231300.0
2018,95829,28134.0,2804.0,9.97,496.0,86483.0,30166.0,364500.0
2018,95830,902.0,227.0,25.17,31.0,80278.0,37217.0,565900.0
2018,95831,42514.0,3580.0,8.42,553.0,75632.0,42840.0,394500.0
2018,95832,11518.0,2805.0,24.35,505.0,44811.0,15591.0,233800.0
2018,95833,41209.0,5986.0,14.53,1022.0,60455.0,28981.0,261200.0
2018,95834,28229.0,4272.0,15.13,822.0,63228.0,28273.0,327200.0
2018,95835,40101.0,2351.0,5.86,396.0,96743.0,41325.0,375000.0
2018,95837,305.0,40.0,13.11,9.0,242557.0,100901.0,721200.0
2018,95838,39187.0,9989.0,25.49,1847.0,44849.0,17299.0,201900.0
2018,95841,20586.0,3964.0,19.26,885.0,47215.0,25167.0,233300.0
2018,95842,32269.0,7050.0,21.85,1386.0,50412.0,22419.0,222300.0
2018,95843,46709.0,5818.0,12.46,1248.0,78102.0,27488.0,299900.0
2018,95864,23733.0,1720.0,7.25,257.0,101446.0,60946.0,562600.0
