,Year,ZipCode,Population,Poverty Count,Poverty Rate,Family Poverty Count,Median Household Income,Per Capita Income,Median Home Value,PC
229,2018,95826,38256.0,7161.0,18.72,1001.0,62527.0,30793.0,283300.0,195.0
230,2018,95827,21185.0,2976.0,14.05,469.0,56064.0,26341.0,241400.0,171.0
231,2018,95828,60270.0,12073.0,20.03,2262.0,51229.0,20117.0,231300.0,445.0
232,2018,95829,28134.0,2804.0,9.97,496.0,86483.0,30166.0,364500.0,124.0
233,2018,95830,902.0,227.0,25.17,31.0,80278.0,37217.0,565900.0,2.0
234,2018,95831,42514.0,3580.0,8.42,553.0,75632.0,42840.0,394500.0,1.0
235,2018,95832,11518.0,2805.0,24.35,505.0,44811.0,15591.0,233800.0,1.0
236,2018,95833,41209.0,5986.0,14.53,1022.0,60455.0,28981.0,261200.0,11.0
237,2018,95834,28229.0,4272.0,15.13,822.0,63228.0,28273.0,327200.0,6.0
238,2018,95835,40101.0,2351.0,5.86,396.0,96743.0,41325.0,375000.0,
239,2018,95837,305.0,40.0,13.11,9.0,242557.0,100901.0,721200.0,13.0
240,2018,95838,39187.0,9989.0,25.49,1847.0,44849.0,17299.0,201900.0,2.0
241,2018,95841,20586.0,3964.0,19.26,885.0,47215.0,25167.0,233300.0,234.0
242,2018,95842,32269.0,7050.0,21.85,1386.0,50412.0,22419.0,222300.0,311.0
243,2018,95843,46709.0,5818.0,12.46,1248.0,78102.0,27488.0,299900.0,236.0
244,2018,95864,23733.0,1720.0,7.25,257.0,101446.0,60946.0,562600.0,83.0
